"Tanggal","ID_Mahasiswa","Jenis_Kelamin","Program_Studi","Semester","IPK_Terakhir","Perangkat_Andal","Koneksi_Stabil","Jenis_Perangkat","Platform_Daring","Interaktif_Daring","Responsivitas_Dosen","Diskusi_Teman","Fitur_Interaktif","Motivasi_Daring","Materi_Menarik","Tujuan_Akademik","Faktor_Motivasi","Gangguan_Teknis","Fokus_Daring","Tantangan_Utama","Perlu_Ditingkatkan"
"19500","M0029","Tidak ingin menyebutkan","Sains Data",6,4,3,3,"Smartphone","Google Classroom",3,4,"Sering","Tidak Ada",4,5,"Tidak","Tugas yang menarik","Tidak Pernah",1,"Kurang interaksi","Lainnya, Koneksi Internet, Kualitas Perangkat"
"19901","M0030","Laki-laki","Sains Data",8,3,1,5,"Smartphone","Google Meet",4,5,"Jarang","Tidak Ada",1,1,"Ya","Tugas yang menarik","Selalu",1,"Sulit fokus","Lainnya, Koneksi Internet, Kualitas Perangkat"
"19847","M0031","Laki-laki","Desain Produk",5,3,2,1,"Tablet","Zoom",1,4,"Jarang","Tidak Ada",2,1,"Ya","Fleksibilitas waktu","Tidak Pernah",1,"Kurang memahami materi sulit","Interaksi Dosen, Lainnya, Materi Kuliah"
"19978","M0032","Tidak ingin menyebutkan","Teknik Pertambangan",7,2.7,5,4,"Smartphone","Google Meet",1,1,"Jarang","Chat",4,1,"Ya","Tugas yang menarik","Kadang-kadang",3,"Sulit bertanya dengan bebas","Materi Kuliah, Koneksi Internet, Kualitas Perangkat"
"19380","M0033","Tidak ingin menyebutkan","Desain Produk",8,2.1,5,3,"Laptop","Google Meet",4,3,"Jarang","Polling",4,5,"Ya","Fleksibilitas waktu","Tidak Pernah",2,"Kurang memahami materi sulit","Koneksi Internet, Interaksi Dosen"
"19666","M0034","Perempuan","Teknik Pertambangan",4,3.8,5,5,"Tablet","Zoom",4,4,"Selalu","Breakout Rooms",5,1,"Ya","Efisiensi","Selalu",2,"Koneksi internet lambat","Lainnya"
"19492","M0035","Laki-laki","Desain Produk",3,2.4,5,5,"Smartphone","Zoom",1,2,"Jarang","Chat",4,5,"Tidak","Efisiensi","Kadang-kadang",3,"Gangguan teknis","Interaksi Dosen, Koneksi Internet, Interaksi Mahasiswa"
"19581","M0036","Tidak ingin menyebutkan","Desain Produk",3,2.6,4,3,"Laptop","Zoom",4,1,"Selalu","Chat",3,2,"Tidak","Bisa belajar lebih dalam","Jarang",5,"Kurang memahami materi sulit","Interaksi Dosen, Interaksi Mahasiswa"
"19523","M0037","Tidak ingin menyebutkan","Sains Data",6,3.3,3,1,"Smartphone","Google Classroom",4,5,"Sering","Chat",3,3,"Ya","Tugas yang menarik","Jarang",2,"Kurang memahami materi sulit","Interaksi Mahasiswa"
"19574","M0038","Tidak ingin menyebutkan","Teknik Informatika",8,3.1,4,3,"Tablet","Zoom",2,4,"Tidak Pernah","Polling",4,1,"Tidak","Tugas yang menarik","Jarang",3,"Tidak bisa diskusi tatap muka","Lainnya, Koneksi Internet, Interaksi Mahasiswa"
"19647","M0039","Laki-laki","Desain Produk",2,3.9,3,2,"Smartphone","Google Classroom",2,5,"Selalu","Tidak Ada",1,5,"Tidak","Efisiensi","Selalu",1,"Gangguan teknis","Koneksi Internet, Interaksi Dosen, Interaksi Mahasiswa"
"19938","M0040","Tidak ingin menyebutkan","Sains Data",4,2.2,1,3,"Tablet","Zoom",1,5,"Selalu","Chat",4,3,"Tidak","Efisiensi","Selalu",5,"Koneksi internet lambat","Kualitas Perangkat"
"19429","M0041","Tidak ingin menyebutkan","Desain Produk",5,3.1,4,5,"Tablet","Google Meet",2,2,"Sering","Tidak Ada",5,3,"Tidak","Efisiensi","Kadang-kadang",5,"Sulit bertanya dengan bebas","Materi Kuliah"
"19945","M0042","Laki-laki","Teknik Pertambangan",6,3.8,4,5,"Smartphone","Zoom",5,3,"Selalu","Tidak Ada",1,1,"Ya","Akses materi daring","Selalu",1,"Sulit bertanya dengan bebas","Kualitas Perangkat, Koneksi Internet"
"19932","M0043","Perempuan","Teknik Perminyakan",2,3.7,4,2,"Smartphone","Google Classroom",4,1,"Kadang-kadang","Breakout Rooms",4,3,"Ya","Interaksi dosen","Selalu",4,"Sulit bertanya dengan bebas","Interaksi Dosen, Kualitas Perangkat, Materi Kuliah"
"19498","M0044","Laki-laki","Teknik Pertambangan",8,3.8,4,2,"Tablet","Google Classroom",2,5,"Jarang","Breakout Rooms",5,1,"Ya","Bisa belajar lebih dalam","Tidak Pernah",5,"Kurang interaksi","Interaksi Dosen"
"20079","M0045","Perempuan","Teknik Perminyakan",2,3.6,3,2,"Smartphone","Google Meet",4,1,"Selalu","Tidak Ada",3,4,"Ya","Fleksibilitas waktu","Selalu",4,"Koneksi internet lambat","Lainnya"
"19510","M0046","Perempuan","Sains Data",6,2.3,2,1,"Smartphone","Google Meet",2,3,"Selalu","Chat",4,4,"Ya","Interaksi dosen","Jarang",2,"Kurang interaksi","Materi Kuliah"
"19651","M0047","Laki-laki","Sains Data",3,2.2,2,3,"Smartphone","Google Meet",2,3,"Kadang-kadang","Tidak Ada",2,1,"Tidak","Bisa belajar lebih dalam","Tidak Pernah",1,"Kurang interaksi","Lainnya, Koneksi Internet, Interaksi Dosen"
"19634","M0048","Tidak ingin menyebutkan","Sains Data",3,2.2,3,5,"Smartphone","Google Meet",2,4,"Kadang-kadang","Breakout Rooms",2,2,"Tidak","Bisa belajar lebih dalam","Kadang-kadang",1,"Sulit fokus","Interaksi Mahasiswa, Materi Kuliah, Lainnya"
"19820","M0049","Laki-laki","Desain Produk",5,2.9,3,3,"Laptop","Google Classroom",1,1,"Tidak Pernah","Chat",3,3,"Tidak","Efisiensi","Sering",1,"Tidak bisa diskusi tatap muka","Interaksi Mahasiswa, Kualitas Perangkat"
"19398","M0050","Perempuan","Sains Data",6,3.6,5,2,"Tablet","Google Classroom",5,4,"Selalu","Tidak Ada",2,3,"Tidak","Akses materi daring","Kadang-kadang",4,"Sulit bertanya dengan bebas","Materi Kuliah, Interaksi Mahasiswa"
"19788","M0051","Perempuan","Teknik Pertambangan",7,3.8,1,4,"Smartphone","Google Classroom",4,4,"Tidak Pernah","Breakout Rooms",3,2,"Tidak","Interaksi dosen","Selalu",1,"Kurang interaksi","Koneksi Internet, Interaksi Mahasiswa, Kualitas Perangkat"
"19447","M0052","Laki-laki","Desain Produk",1,2.9,1,2,"Tablet","Zoom",3,3,"Sering","Breakout Rooms",3,4,"Ya","Fleksibilitas waktu","Jarang",2,"Kurang memahami materi sulit","Kualitas Perangkat, Lainnya, Koneksi Internet"
"19673","M0053","Perempuan","Teknik Informatika",6,3.6,4,4,"Smartphone","Google Meet",3,1,"Kadang-kadang","Breakout Rooms",4,1,"Ya","Fleksibilitas waktu","Tidak Pernah",3,"Tidak bisa diskusi tatap muka","Kualitas Perangkat, Materi Kuliah, Interaksi Dosen"
"19580","M0054","Laki-laki","Sains Data",5,2.9,3,5,"Smartphone","Google Meet",5,4,"Sering","Chat",3,2,"Ya","Efisiensi","Jarang",5,"Kurang interaksi","Materi Kuliah"
"19885","M0055","Laki-laki","Teknik Pertambangan",2,3.4,2,1,"Tablet","Google Classroom",5,5,"Selalu","Tidak Ada",3,1,"Ya","Efisiensi","Tidak Pernah",2,"Kurang interaksi","Lainnya"
"19473","M0056","Perempuan","Desain Produk",7,3.5,4,3,"Smartphone","Google Classroom",2,1,"Sering","Breakout Rooms",5,1,"Tidak","Fleksibilitas waktu","Tidak Pernah",4,"Tidak bisa diskusi tatap muka","Kualitas Perangkat, Materi Kuliah, Interaksi Dosen"
"19963","M0057","Perempuan","Teknik Perminyakan",8,3.4,5,5,"Tablet","Google Meet",1,4,"Sering","Tidak Ada",2,1,"Tidak","Interaksi dosen","Tidak Pernah",5,"Kurang memahami materi sulit","Lainnya"
"19813","M0058","Perempuan","Sains Data",3,3.7,2,2,"Tablet","Google Classroom",1,5,"Sering","Tidak Ada",2,4,"Ya","Bisa belajar lebih dalam","Selalu",3,"Kurang memahami materi sulit","Interaksi Dosen, Koneksi Internet, Materi Kuliah"
"19955","M0059","Perempuan","Teknik Pertambangan",3,2.6,2,1,"Smartphone","Google Meet",5,1,"Kadang-kadang","Tidak Ada",4,2,"Tidak","Bisa belajar lebih dalam","Tidak Pernah",5,"Kurang interaksi","Materi Kuliah, Interaksi Dosen, Lainnya"
"19396","M0060","Tidak ingin menyebutkan","Teknik Pertambangan",4,2.4,3,3,"Smartphone","Google Meet",2,3,"Jarang","Tidak Ada",5,5,"Ya","Akses materi daring","Selalu",4,"Kurang memahami materi sulit","Lainnya, Kualitas Perangkat"
"19516","M0061","Laki-laki","Sains Data",5,2.2,2,5,"Tablet","Google Classroom",4,3,"Sering","Breakout Rooms",5,2,"Ya","Fleksibilitas waktu","Tidak Pernah",3,"Tidak bisa diskusi tatap muka","Interaksi Mahasiswa, Interaksi Dosen"
"19566","M0062","Laki-laki","Sains Data",1,2,3,2,"Smartphone","Google Meet",2,5,"Sering","Breakout Rooms",1,1,"Ya","Fleksibilitas waktu","Kadang-kadang",3,"Sulit bertanya dengan bebas","Kualitas Perangkat, Interaksi Mahasiswa"
"19731","M0063","Laki-laki","Teknik Perminyakan",6,3.8,4,3,"Laptop","Zoom",3,5,"Jarang","Tidak Ada",5,4,"Ya","Tugas yang menarik","Selalu",5,"Kurang memahami materi sulit","Kualitas Perangkat"
"19391","M0064","Laki-laki","Teknik Pertambangan",8,3.6,4,1,"Tablet","Zoom",5,4,"Kadang-kadang","Tidak Ada",3,1,"Tidak","Akses materi daring","Tidak Pernah",1,"Tidak bisa diskusi tatap muka","Interaksi Dosen, Koneksi Internet, Lainnya"
"19873","M0065","Tidak ingin menyebutkan","Desain Produk",5,2.2,1,1,"Tablet","Zoom",1,4,"Sering","Tidak Ada",1,3,"Tidak","Akses materi daring","Tidak Pernah",1,"Tidak bisa diskusi tatap muka","Interaksi Mahasiswa"
"19370","M0066","Perempuan","Sains Data",2,2.2,4,2,"Smartphone","Zoom",5,3,"Sering","Tidak Ada",5,5,"Tidak","Tugas yang menarik","Sering",5,"Kurang interaksi","Koneksi Internet, Interaksi Dosen, Lainnya"
"19426","M0067","Laki-laki","Sains Data",7,2.3,5,2,"Tablet","Google Classroom",1,1,"Kadang-kadang","Chat",3,4,"Ya","Interaksi dosen","Sering",5,"Koneksi internet lambat","Kualitas Perangkat"
"19766","M0068","Laki-laki","Desain Produk",2,3.1,4,1,"Laptop","Google Classroom",1,1,"Tidak Pernah","Chat",3,1,"Ya","Fleksibilitas waktu","Kadang-kadang",1,"Gangguan teknis","Lainnya, Materi Kuliah, Kualitas Perangkat"
"19665","M0069","Tidak ingin menyebutkan","Teknik Perminyakan",1,3.5,2,3,"Smartphone","Google Meet",2,4,"Selalu","Chat",1,1,"Tidak","Tugas yang menarik","Tidak Pernah",4,"Tidak bisa diskusi tatap muka","Materi Kuliah, Kualitas Perangkat, Interaksi Dosen"
"19635","M0070","Tidak ingin menyebutkan","Teknik Pertambangan",7,2.2,3,2,"Laptop","Zoom",1,4,"Jarang","Polling",2,5,"Tidak","Tugas yang menarik","Sering",1,"Sulit bertanya dengan bebas","Materi Kuliah"
"19446","M0071","Laki-laki","Teknik Perminyakan",5,2.2,4,3,"Laptop","Google Classroom",2,3,"Kadang-kadang","Chat",4,2,"Tidak","Tugas yang menarik","Tidak Pernah",5,"Koneksi internet lambat","Kualitas Perangkat, Koneksi Internet"
"19894","M0072","Laki-laki","Teknik Informatika",5,3.1,4,1,"Laptop","Google Classroom",3,2,"Sering","Breakout Rooms",4,2,"Tidak","Interaksi dosen","Jarang",3,"Tidak bisa diskusi tatap muka","Kualitas Perangkat, Interaksi Mahasiswa, Materi Kuliah"
"19648","M0073","Perempuan","Teknik Informatika",8,2.6,4,2,"Tablet","Google Classroom",2,4,"Jarang","Polling",1,4,"Ya","Efisiensi","Kadang-kadang",1,"Koneksi internet lambat","Lainnya, Interaksi Dosen"
"19781","M0074","Tidak ingin menyebutkan","Teknik Pertambangan",3,2.9,2,3,"Tablet","Google Classroom",3,4,"Selalu","Polling",3,3,"Tidak","Interaksi dosen","Selalu",2,"Sulit bertanya dengan bebas","Materi Kuliah"
"19643","M0075","Laki-laki","Teknik Perminyakan",5,2.2,2,3,"Smartphone","Google Classroom",2,2,"Sering","Polling",1,1,"Tidak","Bisa belajar lebih dalam","Kadang-kadang",2,"Koneksi internet lambat","Lainnya, Materi Kuliah, Interaksi Mahasiswa"
"20028","M0076","Laki-laki","Teknik Informatika",8,3.8,2,2,"Smartphone","Google Meet",1,3,"Tidak Pernah","Tidak Ada",4,3,"Ya","Interaksi dosen","Tidak Pernah",2,"Sulit bertanya dengan bebas","Interaksi Mahasiswa, Koneksi Internet"
"19478","M0077","Tidak ingin menyebutkan","Teknik Pertambangan",3,3.5,2,2,"Laptop","Zoom",4,4,"Sering","Chat",4,3,"Tidak","Akses materi daring","Selalu",3,"Koneksi internet lambat","Interaksi Mahasiswa, Interaksi Dosen"
"19467","M0078","Laki-laki","Teknik Pertambangan",1,2.9,3,5,"Tablet","Zoom",2,1,"Jarang","Tidak Ada",3,3,"Ya","Interaksi dosen","Selalu",1,"Gangguan teknis","Kualitas Perangkat, Interaksi Mahasiswa, Materi Kuliah"
"19515","M0079","Perempuan","Desain Produk",4,3.3,1,3,"Laptop","Google Classroom",5,3,"Jarang","Breakout Rooms",3,2,"Tidak","Akses materi daring","Selalu",1,"Sulit fokus","Koneksi Internet, Interaksi Mahasiswa, Lainnya"
"19421","M0080","Perempuan","Desain Produk",8,2.6,5,5,"Tablet","Google Meet",2,1,"Tidak Pernah","Breakout Rooms",4,2,"Tidak","Tugas yang menarik","Tidak Pernah",4,"Sulit bertanya dengan bebas","Lainnya, Interaksi Mahasiswa"
"19840","M0081","Tidak ingin menyebutkan","Sains Data",2,3.3,5,1,"Smartphone","Google Meet",3,1,"Selalu","Breakout Rooms",4,3,"Tidak","Efisiensi","Jarang",1,"Koneksi internet lambat","Materi Kuliah"
"19834","M0082","Laki-laki","Desain Produk",4,2.8,1,2,"Smartphone","Google Meet",4,3,"Jarang","Polling",2,2,"Ya","Fleksibilitas waktu","Sering",1,"Tidak bisa diskusi tatap muka","Interaksi Mahasiswa"
"19837","M0083","Tidak ingin menyebutkan","Teknik Perminyakan",8,3.3,5,2,"Laptop","Google Meet",2,4,"Sering","Polling",3,1,"Ya","Bisa belajar lebih dalam","Tidak Pernah",3,"Gangguan teknis","Koneksi Internet, Lainnya"
"20068","M0084","Laki-laki","Teknik Informatika",4,2.8,1,1,"Tablet","Google Meet",5,2,"Selalu","Chat",1,4,"Ya","Tugas yang menarik","Selalu",1,"Tidak bisa diskusi tatap muka","Interaksi Dosen"
"19424","M0085","Tidak ingin menyebutkan","Sains Data",8,3.4,1,1,"Smartphone","Google Meet",2,3,"Tidak Pernah","Tidak Ada",1,5,"Ya","Tugas yang menarik","Sering",2,"Sulit fokus","Interaksi Mahasiswa, Interaksi Dosen, Materi Kuliah"
"20020","M0086","Tidak ingin menyebutkan","Sains Data",5,2.6,5,3,"Tablet","Google Meet",3,3,"Kadang-kadang","Tidak Ada",5,3,"Ya","Bisa belajar lebih dalam","Sering",1,"Sulit bertanya dengan bebas","Interaksi Dosen, Materi Kuliah, Koneksi Internet"
"19442","M0087","Laki-laki","Teknik Perminyakan",6,3.5,4,4,"Laptop","Google Meet",2,5,"Sering","Polling",2,4,"Ya","Efisiensi","Selalu",2,"Sulit fokus","Materi Kuliah, Interaksi Mahasiswa"
"19522","M0088","Tidak ingin menyebutkan","Teknik Informatika",7,3.1,2,1,"Laptop","Google Meet",5,3,"Sering","Tidak Ada",5,1,"Tidak","Efisiensi","Jarang",5,"Kurang interaksi","Interaksi Mahasiswa"
"20005","M0089","Tidak ingin menyebutkan","Teknik Informatika",1,2,4,1,"Tablet","Google Classroom",3,5,"Selalu","Polling",2,4,"Tidak","Bisa belajar lebih dalam","Jarang",3,"Sulit bertanya dengan bebas","Interaksi Mahasiswa"
"19408","M0090","Tidak ingin menyebutkan","Teknik Perminyakan",7,2.7,1,5,"Tablet","Google Meet",5,3,"Tidak Pernah","Tidak Ada",5,2,"Tidak","Efisiensi","Kadang-kadang",3,"Kurang interaksi","Interaksi Dosen"
"19431","M0091","Tidak ingin menyebutkan","Desain Produk",4,2.9,3,2,"Laptop","Google Classroom",1,5,"Selalu","Tidak Ada",2,3,"Ya","Efisiensi","Selalu",4,"Sulit bertanya dengan bebas","Interaksi Dosen, Kualitas Perangkat, Koneksi Internet"
"19535","M0092","Tidak ingin menyebutkan","Desain Produk",2,2.8,3,2,"Laptop","Google Classroom",1,5,"Jarang","Polling",2,4,"Tidak","Efisiensi","Selalu",1,"Gangguan teknis","Interaksi Dosen, Kualitas Perangkat, Materi Kuliah"
"19719","M0093","Perempuan","Desain Produk",6,3.1,3,2,"Tablet","Zoom",4,2,"Sering","Tidak Ada",4,2,"Ya","Bisa belajar lebih dalam","Jarang",4,"Kurang memahami materi sulit","Materi Kuliah"
"19593","M0094","Tidak ingin menyebutkan","Teknik Pertambangan",4,3.7,2,5,"Smartphone","Google Meet",5,4,"Selalu","Tidak Ada",2,3,"Tidak","Akses materi daring","Kadang-kadang",5,"Koneksi internet lambat","Kualitas Perangkat"
"19967","M0095","Perempuan","Sains Data",7,3.5,4,5,"Laptop","Zoom",4,2,"Selalu","Tidak Ada",4,1,"Tidak","Interaksi dosen","Tidak Pernah",4,"Gangguan teknis","Kualitas Perangkat, Materi Kuliah"
"19687","M0096","Tidak ingin menyebutkan","Teknik Informatika",4,2.1,3,4,"Smartphone","Google Classroom",2,1,"Kadang-kadang","Polling",5,3,"Ya","Tugas yang menarik","Kadang-kadang",4,"Sulit fokus","Koneksi Internet, Kualitas Perangkat, Lainnya"
"20083","M0097","Perempuan","Teknik Pertambangan",3,2.2,1,1,"Laptop","Google Meet",5,3,"Tidak Pernah","Breakout Rooms",3,2,"Tidak","Tugas yang menarik","Jarang",2,"Gangguan teknis","Koneksi Internet"
"19484","M0098","Laki-laki","Desain Produk",8,2.6,5,4,"Tablet","Zoom",4,5,"Kadang-kadang","Breakout Rooms",4,4,"Ya","Interaksi dosen","Tidak Pernah",2,"Kurang interaksi","Koneksi Internet, Materi Kuliah"
"19569","M0099","Laki-laki","Teknik Informatika",6,2.6,2,5,"Smartphone","Zoom",2,2,"Jarang","Tidak Ada",1,1,"Tidak","Bisa belajar lebih dalam","Kadang-kadang",1,"Kurang interaksi","Lainnya"
"20043","M0100","Tidak ingin menyebutkan","Teknik Pertambangan",3,3.5,5,1,"Smartphone","Google Classroom",2,4,"Sering","Tidak Ada",5,2,"Tidak","Interaksi dosen","Kadang-kadang",5,"Kurang memahami materi sulit","Kualitas Perangkat, Interaksi Dosen"
"19667","M0101","Laki-laki","Sains Data",6,2.3,5,1,"Tablet","Zoom",1,4,"Selalu","Tidak Ada",5,1,"Tidak","Fleksibilitas waktu","Jarang",5,"Kurang memahami materi sulit","Materi Kuliah, Kualitas Perangkat"
"19600","M0102","Perempuan","Desain Produk",8,4,3,3,"Smartphone","Google Meet",4,4,"Kadang-kadang","Breakout Rooms",3,4,"Ya","Interaksi dosen","Sering",2,"Koneksi internet lambat","Interaksi Mahasiswa, Interaksi Dosen"
"19470","M0103","Laki-laki","Teknik Pertambangan",1,3.7,5,3,"Smartphone","Google Meet",1,3,"Jarang","Chat",3,5,"Ya","Akses materi daring","Jarang",2,"Sulit bertanya dengan bebas","Materi Kuliah"
"19976","M0104","Perempuan","Desain Produk",7,3.2,4,3,"Laptop","Google Classroom",1,5,"Jarang","Chat",2,1,"Ya","Efisiensi","Tidak Pernah",4,"Kurang interaksi","Kualitas Perangkat, Materi Kuliah"
"19834","M0105","Perempuan","Teknik Informatika",2,3.8,5,2,"Smartphone","Zoom",1,3,"Sering","Chat",2,3,"Tidak","Akses materi daring","Sering",2,"Gangguan teknis","Interaksi Dosen, Kualitas Perangkat, Interaksi Mahasiswa"
"19508","M0106","Laki-laki","Desain Produk",2,2,3,4,"Smartphone","Google Meet",3,2,"Jarang","Polling",1,5,"Ya","Efisiensi","Jarang",1,"Tidak bisa diskusi tatap muka","Lainnya"
"20023","M0107","Laki-laki","Teknik Pertambangan",6,3.6,5,3,"Tablet","Google Meet",1,3,"Jarang","Chat",2,5,"Tidak","Efisiensi","Selalu",2,"Sulit fokus","Interaksi Mahasiswa, Kualitas Perangkat, Lainnya"
